method,source,model,n_poses,pcc,rmse,n_targets
mean,gnina-crystal,dynaformer,1,0.7202755241965828,1.5043334401078132,283
mean,gnina-crystal,dynaformer,2,0.7276525832805676,1.4941695902177388,283
mean,gnina-crystal,dynaformer,3,0.7367928926517812,1.4819460619521003,283
mean,gnina-crystal,dynaformer,5,0.7328398084861535,1.4941169986259277,283
mean,gnina-crystal,dynaformer,10,0.7031084143461067,1.5610790908623793,283
mean,gnina-crystal,dynaformer,20,0.679960680946298,1.6192943625538812,283
mean,gnina-crystal,dynaformer,30,0.6627501788662187,1.6604452809900312,283
mean,gnina-crystal,dynaformer,50,0.6482181599053802,1.6963192842731059,283
mean,gnina-crystal,dynaformer,100,0.6259927701829103,1.7492824222713939,283
mean,gnina-crystal,egna,1,0.8202880425710031,1.371427514512465,283
mean,gnina-crystal,egna,2,0.809376446504071,1.405050173267593,283
mean,gnina-crystal,egna,3,0.8085008335008254,1.4096671641012808,283
mean,gnina-crystal,egna,5,0.7989313650096473,1.4356349637755283,283
mean,gnina-crystal,egna,10,0.774931240247973,1.5069486217793047,283
mean,gnina-crystal,egna,20,0.7715576115699935,1.5440026102777151,283
mean,gnina-crystal,egna,30,0.7670499027996012,1.5669284531314942,283
mean,gnina-crystal,egna,50,0.7660672741495265,1.5860336727261075,283
mean,gnina-crystal,egna,100,0.7562082903885243,1.6179329191770957,283
mean,gnina-crystal,ehign_pla,1,0.8240761949935167,1.2645497745553376,282
mean,gnina-crystal,ehign_pla,2,0.8268720772933821,1.2775690293687998,282
mean,gnina-crystal,ehign_pla,3,0.8258313175237885,1.3002040082897144,282
mean,gnina-crystal,ehign_pla,5,0.8170548845054166,1.3621356822386017,282
mean,gnina-crystal,ehign_pla,10,0.7937105900608252,1.4846327105395973,282
mean,gnina-crystal,ehign_pla,20,0.7588713077031006,1.6409633994296762,282
mean,gnina-crystal,ehign_pla,30,0.7404566992106454,1.7332486645363379,282
mean,gnina-crystal,ehign_pla,50,0.7265049272404728,1.8247351309337043,282
mean,gnina-crystal,ehign_pla,100,0.6989806501225653,1.9715190187295815,283
mean,gnina-crystal,gign,1,0.8200573347789085,1.2540648574930744,282
mean,gnina-crystal,gign,2,0.8190222516302059,1.2903411095010848,282
mean,gnina-crystal,gign,3,0.8280724899827943,1.2958739905762695,282
mean,gnina-crystal,gign,5,0.8105270564624568,1.3762967573287284,282
mean,gnina-crystal,gign,10,0.7770946032126438,1.5158812727088116,282
mean,gnina-crystal,gign,20,0.7440759233742094,1.6757962016287973,282
mean,gnina-crystal,gign,30,0.7247280619682698,1.7643779621880205,282
mean,gnina-crystal,gign,50,0.7093591760561018,1.847280312069703,282
mean,gnina-crystal,gign,100,0.678066673481051,1.985689104011099,283
mean,gnina-crystal,onionnet-2,1,0.7735017098207811,1.4465629277023577,284
mean,gnina-crystal,onionnet-2,2,0.7689056012027274,1.4740555289624568,284
mean,gnina-crystal,onionnet-2,3,0.7651556034707025,1.4918243025934033,284
mean,gnina-crystal,onionnet-2,5,0.7474048079119321,1.5458600910109173,284
mean,gnina-crystal,onionnet-2,10,0.7151966172904219,1.6438430430540452,284
mean,gnina-crystal,onionnet-2,20,0.6933186075048066,1.7268958253850226,284
mean,gnina-crystal,onionnet-2,30,0.6777612070578707,1.7832788300309685,284
