method,n_poses,source_a,source_b,n_targets,delta_pcc_a_minus_b,delta_pcc_ci_low,delta_pcc_ci_high,delta_pcc_p_two_sided,n_boot_pcc,delta_rmse_a_minus_b,delta_rmse_ci_low,delta_rmse_ci_high,delta_rmse_p_two_sided,n_boot_rmse
mean,1,gnina-crystal,gnina-apo,280,0.21665883581970535,0.16173660076317212,0.27491641286324275,0.0,20000,-0.5609913201260948,-0.6874848725694453,-0.4351572648069123,0.0,20000
mean,1,gnina-crystal,gnina-af3,282,0.2839142637147968,0.22304262365050684,0.34817619601229366,0.0,20000,-0.8253336914844533,-0.962530972325701,-0.6858239102249132,0.0,20000
mean,1,gnina-crystal,alphafold3,269,0.1148280065438323,0.0691489438189571,0.1650698661560111,0.0,20000,-0.28956070811848167,-0.39593253128184036,-0.185273642538673,0.0,20000
mean,1,gnina-apo,gnina-af3,282,0.06192561478904146,-0.0013719221103079549,0.12654441576346137,0.0551,20000,-0.24904696435912932,-0.36386312467278176,-0.13551225365210662,0.0,20000
mean,1,gnina-apo,alphafold3,268,-0.11440111432472022,-0.1799398407125069,-0.05200372758865086,0.0004,20000,0.29743037841208664,0.16808164986135643,0.42801713806124797,0.0,20000
mean,1,gnina-af3,alphafold3,270,-0.16924229681604197,-0.23980790460053616,-0.1024704002797532,0.0,20000,0.5261428076753591,0.3931108881552388,0.6626751179773556,0.0,20000
mean,2,gnina-crystal,gnina-apo,281,0.18705679013374799,0.1371159594999849,0.24085656958515594,0.0,20000,-0.5116334712619215,-0.6301148954043325,-0.39640685977603435,0.0,20000
mean,2,gnina-crystal,gnina-af3,282,0.2483583731889848,0.18919539076888617,0.31157520673062755,0.0,20000,-0.7784916718702399,-0.9104266462601277,-0.6424653692897785,0.0,20000
mean,2,gnina-crystal,alphafold3,269,0.10732875045971868,0.05953501621476976,0.15966095706021527,0.0,20000,-0.25675935813156947,-0.36616040808923656,-0.14986693442565596,0.0,20000
mean,2,gnina-apo,gnina-af3,283,0.057097415970585375,0.0038359185396178224,0.11172294744045841,0.0374,20000,-0.25017980471133683,-0.34628618292824587,-0.15447048991239318,0.0,20000
mean,2,gnina-apo,alphafold3,269,-0.09025669207858722,-0.15405985869031535,-0.02776433996298366,0.0039,20000,0.27235176290845087,0.1437987187798822,0.4060553607773451,0.0,20000
mean,2,gnina-af3,alphafold3,270,-0.14122427355322886,-0.20916776681829197,-0.07715792160612812,0.0,20000,0.5083028913900762,0.3793400260020438,0.6404581670041045,0.0,20000
mean,3,gnina-crystal,gnina-apo,281,0.18105851675979656,0.13278476520120752,0.2341979415090154,0.0,20000,-0.5060198481466882,-0.6194963505310078,-0.3954155169899904,0.0,20000
mean,3,gnina-crystal,gnina-af3,282,0.2523167657114558,0.1956112409639503,0.31215236453876843,0.0,20000,-0.7789032408460097,-0.9038001175088076,-0.6504805099697144,0.0,20000
mean,3,gnina-crystal,alphafold3,269,0.1082077085960561,0.059773881442380244,0.1608331542240906,0.0,20000,-0.24725763080549124,-0.3559061167249234,-0.14187735311234706,0.0,20000
mean,3,gnina-apo,gnina-af3,283,0.06817909800401811,0.01968803210555676,0.11700310007525272,0.0059,20000,-0.25821274053270193,-0.3453046339631936,-0.17132286443302924,0.0,20000
mean,3,gnina-apo,alphafold3,269,-0.0812883640986376,-0.14609611639013614,-0.018647625310515562,0.0101,20000,0.2707608093367704,0.13961865824891673,0.4058403816661241,0.0001,20000
mean,3,gnina-af3,alphafold3,270,-0.14304218501386645,-0.20913864340109958,-0.08063292754107595,0.0,20000,0.5159168669191869,0.38880734231865083,0.6464781795780243,0.0,20000
mean,5,gnina-crystal,gnina-apo,281,0.17516547041586417,0.13095842858034065,0.22387870288246633,0.0,20000,-0.4863888529430176,-0.5855779311062778,-0.3888171441884663,0.0,20000
mean,5,gnina-crystal,gnina-af3,282,0.23925095804057228,0.1868329707747401,0.2948078330279726,0.0,20000,-0.7443652130495284,-0.8587146150549599,-0.6267922869404137,0.0,20000
mean,5,gnina-crystal,alphafold3,269,0.09667888957795112,0.04997248410037959,0.14630167266315816,0.0001,20000,-0.1985147696947105,-0.29883255017088795,-0.09826956329385213,0.0001,20000
mean,5,gnina-apo,gnina-af3,283,0.062067214423437544,0.016283057435866617,0.10836855614368449,0.007,20000,-0.24458346027569422,-0.32792669058184304,-0.16250218062675967,0.0,20000
mean,5,gnina-apo,alphafold3,269,-0.08799215129375404,-0.15391031554213921,-0.023543371552175438,0.0082,20000,0.29911453729221305,0.1665909974655479,0.4355981314217419,0.0,20000
mean,5,gnina-af3,alphafold3,270,-0.143125317139708,-0.20994213087154348,-0.07985769417603293,0.0,20000,0.5297813553239903,0.4014334440430256,0.6623708741885393,0.0,20000
mean,10,gnina-crystal,gnina-apo,281,0.14501138321608098,0.10244034837940433,0.19107024634560346,0.0,20000,-0.4136820648013657,-0.5044941857538833,-0.3234831615919299,0.0,20000
mean,10,gnina-crystal,gnina-af3,282,0.20934618296823815,0.15845007987752407,0.26234068390800136,0.0,20000,-0.6645429695681537,-0.7705679347965954,-0.5546029412727251,0.0,20000
mean,10,gnina-crystal,alphafold3,269,0.06600404125340376,0.016430984113475575,0.11760616517295451,0.0074,20000,-0.09443484029420368,-0.2003813197423516,0.01200105336080193,0.083,20000
mean,10,gnina-apo,gnina-af3,283,0.061940195613651494,0.016086063970232583,0.10804472376603136,0.0075,20000,-0.23764087151481172,-0.31740693422056,-0.1588618736679357,0.0,20000
mean,10,gnina-apo,alphafold3,269,-0.0882313400222775,-0.1553459555100944,-0.0217912333920695,0.0087,20000,0.3269455950215978,0.19207319973736775,0.4643724917350278,0.0,20000
mean,10,gnina-af3,alphafold3,270,-0.1431659887292298,-0.21052969617826764,-0.0786022036428424,0.0,20000,0.5510818987431323,0.4207397132794988,0.6855403233644857,0.0,20000
mean,20,gnina-crystal,gnina-apo,282,0.1307367966528532,0.08462875254445867,0.18042483271685572,0.0,20000,-0.36654851365373275,-0.4608824413693229,-0.2758131513481156,0.0,20000
mean,20,gnina-crystal,gnina-af3,282,0.19742413651227386,0.14633750783382155,0.25008111143174816,0.0,20000,-0.5900606215123358,-0.6883598830743916,-0.48953056461904,0.0,20000
mean,20,gnina-crystal,alphafold3,269,0.040226876596320515,-0.012111380827607692,0.09381538528476166,0.1381,20000,0.007544329928734994,-0.10130812220409198,0.11858894750319056,0.8834,20000
mean,20,gnina-apo,gnina-af3,284,0.06438643241855646,0.013608068070416606,0.11436452924873362,0.0136,20000,-0.22094444279246317,-0.30028442739822475,-0.14250320357112514,0.0,20000
mean,20,gnina-apo,alphafold3,270,-0.09247182000158927,-0.15798291243584228,-0.028537921090938088,0.0059,20000,0.36668295453548483,0.23623078920600182,0.500480646916828,0.0,20000
mean,20,gnina-af3,alphafold3,270,-0.15757203365949102,-0.22835581501414354,-0.09056060729838782,0.0,20000,0.5811668307850346,0.4478071018058164,0.7179465360677009,0.0,20000
mean,30,gnina-crystal,gnina-apo,282,0.10733488177769479,0.06518236675122527,0.15182226596641468,0.0,20000,-0.31018252855209827,-0.39322467888107016,-0.2276497421219236,0.0,20000
mean,30,gnina-crystal,gnina-af3,282,0.18722828018495263,0.13698025419269297,0.23893936120578999,0.0,20000,-0.5447630824334868,-0.638094581158746,-0.4493839882674726,0.0,20000
mean,30,gnina-crystal,alphafold3,269,0.023609191334083568,-0.03107151778281587,0.07946257723205613,0.4091,20000,0.06788375902958887,-0.04493539018105043,0.18287428332541464,0.2382,20000
mean,30,gnina-apo,gnina-af3,284,0.07717322777467006,0.030242776803130506,0.12418322813844906,0.0008,20000,-0.231554422312104,-0.3067607369490123,-0.15729201634057965,0.0,20000
mean,30,gnina-apo,alphafold3,270,-0.08420469302965206,-0.1498331846021029,-0.019829818966567693,0.0121,20000,0.3692919345510104,0.23851437950614843,0.5028856977036512,0.0,20000
mean,30,gnina-af3,alphafold3,270,-0.16228159155612354,-0.23416335063676208,-0.093960586328311,0.0,20000,0.5952165686686413,0.46009122981901057,0.7341100985425159,0.0,20000
mean,50,gnina-crystal,gnina-apo,282,0.09895399300856467,0.0554426200736698,0.1449243962646535,0.0001,20000,-0.2755693234000913,-0.3588383558656241,-0.19432046321756213,0.0,20000
mean,50,gnina-crystal,gnina-af3,282,0.17844251367342512,0.12914104679736393,0.22954119979669582,0.0,20000,-0.5010247913691532,-0.590265855627026,-0.4103281272316299,0.0,20000
