method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-crystal,dynaformer,1,283,0.7202755241965828,0.66306344705816,0.7722104058985227,1.5043334401078132,1.3906972432690519,1.616213690688436,20000,20000
mean,gnina-crystal,dynaformer,2,283,0.7276525832805676,0.6701555314211892,0.7787228285588502,1.4941695902177388,1.3794486664348886,1.6096530174967945,20000,20000
mean,gnina-crystal,dynaformer,3,283,0.7367928926517812,0.6814185844527572,0.7856612545674676,1.4819460619521003,1.3711250745605046,1.5919134612525967,20000,20000
mean,gnina-crystal,dynaformer,5,283,0.7328398084861535,0.6757403731159186,0.7832105265719314,1.4941169986259277,1.3757857688891877,1.6110043566507206,20000,20000
mean,gnina-crystal,dynaformer,10,283,0.7031084143461067,0.6415263489261805,0.7583824107563095,1.5610790908623793,1.4366687360050496,1.6835512500533434,20000,20000
mean,gnina-crystal,dynaformer,20,283,0.679960680946298,0.6141634621907565,0.7388896516882479,1.6192943625538812,1.4846544379150364,1.7530979201087094,20000,20000
mean,gnina-crystal,dynaformer,30,283,0.6627501788662187,0.5932349964913914,0.7246969445546877,1.6604452809900312,1.5226801893157287,1.7976042221791964,20000,20000
mean,gnina-crystal,dynaformer,50,283,0.6482181599053802,0.5761552713450927,0.7133140521974828,1.6963192842731059,1.5556013584499353,1.8367569130244772,20000,20000
mean,gnina-crystal,dynaformer,100,283,0.6259927701829103,0.5510025723291008,0.6940121094729863,1.7492824222713939,1.6064143406366516,1.891375332681247,20000,20000
mean,gnina-crystal,egna,1,283,0.8202880425710031,0.7819239186507964,0.8538284775587417,1.371427514512465,1.2571764524014482,1.4840489840032458,20000,20000
mean,gnina-crystal,egna,2,283,0.809376446504071,0.7670764179281571,0.8463447359529088,1.405050173267593,1.2838788264431864,1.525104470576303,20000,20000
mean,gnina-crystal,egna,3,283,0.8085008335008254,0.7655478995612816,0.8460219691063195,1.4096671641012808,1.2890843213470278,1.5281561022424142,20000,20000
mean,gnina-crystal,egna,5,283,0.7989313650096473,0.7538462852326896,0.8389338697190944,1.4356349637755283,1.314124258218217,1.5550072542948463,20000,20000
mean,gnina-crystal,egna,10,283,0.774931240247973,0.723451282784473,0.8205195378821465,1.5069486217793047,1.3835385990454374,1.6286428956460286,20000,20000
mean,gnina-crystal,egna,20,283,0.7715576115699935,0.7200034894852022,0.8169038851285546,1.5440026102777151,1.4183087866558874,1.666365066336225,20000,20000
mean,gnina-crystal,egna,30,283,0.7670499027996012,0.714965623972423,0.812590182987989,1.5669284531314942,1.4394151652028335,1.6905906531819972,20000,20000
