method,source,n_poses,n_targets,pcc_mean_over_models,pcc_ci_low,pcc_ci_high,rmse_mean_over_models,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-crystal,1,282,0.7937153858022936,0.7598272834216323,0.8240368121101904,1.3583422584507616,1.2695399045469258,1.4459497980860245,20000,20000
mean,gnina-crystal,2,282,0.7923874904794441,0.7571953084446248,0.8238916453969992,1.3781969531343352,1.28356281392568,1.4711152861906105,20000,20000
mean,gnina-crystal,3,282,0.794750368225934,0.7590937011506126,0.8265392883599717,1.385930122204125,1.2894566401514083,1.4814359353058864,20000,20000
mean,gnina-crystal,5,282,0.7832569292648842,0.7444533786748097,0.8175228675424193,1.4325560311923318,1.3269532575712877,1.5391222411788739,20000,20000
mean,gnina-crystal,10,282,0.7541528264801831,0.707643536417964,0.7940975692827366,1.532919042628667,1.4155113095292058,1.6518018362772222,20000,20000
mean,gnina-crystal,20,282,0.7304748215673781,0.6799047174670202,0.7743376897599733,1.6324011118537662,1.5054253050388122,1.7630611721505862,20000,20000
mean,gnina-crystal,30,282,0.7152273319275136,0.6622137604493686,0.7614359499906855,1.6929198285146732,1.5617409889947518,1.8277666626986815,20000,20000
mean,gnina-crystal,50,282,0.703545522513487,0.6483114162295902,0.7516568792755948,1.7499702658706962,1.6144614309259664,1.8885178576665083,20000,20000
mean,gnina-crystal,100,283,0.6845402009191194,0.628619160983523,0.7346356311321586,1.84183405886888,1.7009703104458846,1.9810151245534457,20000,20000
mean,gnina-apo,1,282,0.5718474072771477,0.5031843586726077,0.6345984201984444,1.9118571162331919,1.752224224616533,2.0671086048365406,20000,20000
mean,gnina-apo,2,283,0.6025277329978062,0.5387200610476688,0.6606730892833247,1.88153711810941,1.7252268871368643,2.035595748193393,20000,20000
mean,gnina-apo,3,283,0.6112870585911977,0.546768589283132,0.6698995282912122,1.8826495472247509,1.7270425995958638,2.0356863897375175,20000,20000
mean,gnina-apo,5,283,0.605342888100256,0.5414105130039406,0.6640317426482403,1.9093556556422786,1.753264931769705,2.062426405954763,20000,20000
mean,gnina-apo,10,283,0.6050507092796826,0.5392571674323577,0.6642607566318594,1.937571334033691,1.7788793684532853,2.0934359130104774,20000,20000
mean,gnina-apo,20,284,0.5996674359987845,0.5352023110353545,0.6590448495405417,1.9971259176255522,1.829501830420283,2.1646513619717345,20000,20000
mean,gnina-apo,30,284,0.6077804196631753,0.5453466047486091,0.6649213756323097,2.001571438525317,1.8379389624015403,2.162850501581709,20000,20000
mean,gnina-apo,50,284,0.6048450080201079,0.5419184236795942,0.6622779621270478,2.0239260475703817,1.8589963524344129,2.18718353921091,20000,20000
mean,gnina-apo,100,284,0.6018163677493216,0.5391499988144914,0.6593400499401318,2.0570810478764194,1.890213147910975,2.220963940098023,20000,20000
mean,gnina-af3,1,284,0.5130622891471133,0.4394623405583406,0.5797216299572734,2.178597151643309,2.0070621332056873,2.3529307402981794,20000,20000
mean,gnina-af3,2,284,0.546691927362284,0.4764746261868301,0.610827632391175,2.1522798608940326,1.9810846892991139,2.3250658792450145,20000,20000
mean,gnina-af3,3,284,0.545525411156403,0.4765281713041645,0.6078781181884826,2.1601027183361308,1.987784716662516,2.3317950427475456,20000,20000
mean,gnina-af3,5,284,0.5466286320573618,0.47835035508084695,0.6085374087306719,2.172239130944388,1.9987522402818891,2.3449525958728894,20000,20000
