TopN,source_1,source_2,p_raw,p_adj,significant (p_adj<0.05)
Top100,Crystal,GNINA-Crystal,2.378453610401638e-06,2.6427262337795976e-06,True
Top100,Crystal,GNINA-Apo,4.203977141701119e-32,6.005681631001598e-32,True
Top100,Crystal,GNINA-AF3,1.2709076946810192e-149,2.5418153893620384e-149,True
Top100,Crystal,AlphaFold3,7.745475846098783e-08,9.681844807623479e-08,True
Top100,GNINA-Crystal,GNINA-Apo,2.2509239100673627e-65,3.7515398501122714e-65,True
Top100,GNINA-Crystal,GNINA-AF3,0.0,0.0,True
Top100,GNINA-Crystal,AlphaFold3,0.011998590109269174,0.011998590109269174,True
Top100,GNINA-Apo,GNINA-AF3,0.0,0.0,True
Top100,GNINA-Apo,AlphaFold3,0.0,0.0,True
Top100,GNINA-AF3,AlphaFold3,0.0,0.0,True
Top1,Crystal,GNINA-Crystal,0.09470851283931148,0.10523168093256831,False
Top1,Crystal,GNINA-Apo,9.963841286194125e-07,1.423405898027732e-06,True
Top1,Crystal,GNINA-AF3,6.986855847607468e-58,3.4934279238037336e-57,True
Top1,Crystal,AlphaFold3,0.00043268531297406846,0.0005408566412175856,True
Top1,GNINA-Crystal,GNINA-Apo,1.0696512323199439e-10,2.1393024646398877e-10,True
Top1,GNINA-Crystal,GNINA-AF3,6.315975258593567e-62,6.315975258593567e-61,True
Top1,GNINA-Crystal,AlphaFold3,1.8494887996788788e-07,3.0824813327981313e-07,True
Top1,GNINA-Apo,GNINA-AF3,6.173032237594468e-44,1.543258059398617e-43,True
Top1,GNINA-Apo,AlphaFold3,0.11539732937375993,0.11539732937375993,False
Top1,GNINA-AF3,AlphaFold3,1.193376789698017e-49,3.977922632326724e-49,True
